NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Garut Bl. Limbangan Ciwangi,Kampung Manjah Beureum Rt. 001 Rw. 011 Desa Ciwangi Kecamatan Limbangan Kabupaten Garut Provinsi Jawa Barat,16-10-2025,JAWA BARAT,Wilayah II,Lukman Azhari,,-7.00818,107.96397
SPPG Kuningan Kadugede Ciherang,Jl. Dusun manis Rt 004/001 Desa Ciherang  kec. kadugede kab kuningan,17-02-2025,JAWA BARAT,Wilayah II,Mochamad Heri Hermawan,Yayasan Relawan Ruang Peduli,-7.00554,108.45049
SPPG Bogor Ciawi Pandan Sari,Jl. Cibalok Raya No.25 RT/RW 003/05 Kel. Pandansari,17-02-2025,JAWA BARAT,Wilayah II,Prayoga Surya Galuh,Yayasan Selamat Berkah Umat,-6.65097,106.86404
SPPG Kota Bekasi Bekasi Barat Bintara,"Perum Duta Kranji. Jln Prambanan Raya Blok A 795, RT 10/Rw.10",17-02-2025,JAWA BARAT,Wilayah II,Donny Ericko Corneles,Yayasan Salman Peduli Berkarya,-6.22644,106.9685
SPPG Sukabumi Parungkuda Bojongkosan 1,Kp. Babakan peundeuy Rt.02/03 Desa Bojongkokosan,17-02-2025,JAWA BARAT,Wilayah II,Adryan Rizki Fauzi,Yayasan Relawan Ruang Peduli,-6.83724,106.76042
SPPG Sukabumi Jampangkulon Padajaya,Kp. Cijaksa RT.018/006,17-02-2025,JAWA BARAT,Wilayah II,Renaldi sanjaya,Yayasan Pendidikan dan Sosial Islam Nurul Huda Annawawiyyah,-7.2512,106.63778
SPPG Cianjur Ciranjang Ciranjang 1,JL Jati Kp Pasir Sirem RT 001 RW 010 Ds Ciranjang,17-02-2025,JAWA BARAT,Wilayah II,Sita Soraya,Yayasan Tunas Mekar Cianjur,-6.81196,107.25417
SPPG Bandung Ciwidey Panyocokan,Jl Sukajadi (Pasir Pogor) Perumahan Villa Ciwidey Asri Blok I No 14,17-02-2025,JAWA BARAT,Wilayah II,Sandra Gunawan,Yayasan Kasih Bela Negara,-7.09028,107.45564
SPPG Subang Pagaden Barat Margahayu,"Kp. Babakan Saltewi, RT 008 / RW. 005, Desa  Margahayu",17-02-2025,JAWA BARAT,Wilayah II,Tegar Pribadi,Yayasan Al Khawarizmi Eco Pedagogik,-6.25458,107.01264
SPPG Tasikmalaya Ciawi Sukamantri,Kp. Ranca Kuya RT/RW 003/003,17-03-2025,JAWA BARAT,Wilayah II,Iqbal Fazri Sanusi,Yayasan Al-Hidayah Babakan Ciselang,-7.16003,108.15383
SPPG Garut Cisewu Cisewu,"Kampung Datar Dilem, RT 001/RW 005, Desa Cisewu, Kecamatan Cisewu, Kabupaten Garut, Provinsi Jawa Barat",17-09-2025,JAWA BARAT,Wilayah II,MA Firmansyah,,-7.37477,107.49477
SPPG Cianjur Pagelaran Sindangkerta 2,"Kampung Pasir Kiara Rt.003 Rw.006 Desa Sindangkerta Kecamatan Pagelaran Kabupaten Cianjur, Jawa Barat",17-10-2025,JAWA BARAT,Wilayah II,Apt. Mochammad Rizky Hadyan,,-7.18461,107.13912
SPPG Karawang Telukjambe Timur Sirnabaya,Desa Simbaya Kampung Krajan Rt 02 Rw 01 Kelurahan/Desa Sirnabaya Kecamatan Teluk Jambe Timur Kabupaten Karawang Jawa Barat,17-10-2025,JAWA BARAT,Wilayah II,Putri Widyani,,-6.33317,107.30401
SPPG Bogor Cibinong Karadenan,Jl Raden Aspiya Kp Pisang. No 126. RT 003/RW 007 No Kel Keradenan  Kec Cibinong Kab Bogor,18-02-2025,JAWA BARAT,Wilayah II,GILANG ZIYAN RIYADI,Yayasan Putri Darma Jaya,-6.50646,106.81324
SPPG Subang Blanakan Blanakan 2,Dusun Kertamukti rt.02 rw 06 Desa Blanakan Kec. Blanakan Kab. Subang,18-08-2025,JAWA BARAT,Wilayah II,Hari Fauji,,-6.28222,107.66709
SPPG Kuningan Ciawigebang Ciawigebang,Dusun Kliwon RT.005 RW. 001 ,18-08-2025,JAWA BARAT,Wilayah II,Riki Rifatunnasikhin,,-6.97565,108.589
SPPG Indramayu Bongas Cipaat 2,"Blok Tulang Kacang, Desa Cipaat, Kecamatan Bongas, Kabupaten Indramayu, Provinsi Jawa Barat",18-08-2025,JAWA BARAT,Wilayah II,Yudis Mahfuri,,-6.34504,108.02635
SPPG Sukabumi Kadudampit Citamiang,"Jl. Citamiang, Kampung Cimahi Girang RT.019/RW.006",18-08-2025,JAWA BARAT,Wilayah II,Muhammad Ihsan Alhalim,,-6.87647,106.88947
SPPG Subang Pusakanagara Kotasari,DUSUN SIMPANG RT O11 RW 003 DESA KOTASARI KECAMATAN PUSAKANAGARA,18-08-2025,JAWA BARAT,Wilayah II,Ivan Ruhyat Maulana,,-6.27761,107.8562
SPPG Cirebon Gegesik Bayalangu Kidul,"jl. Arjawinangun Jagapura Dusun 03, Rt:13 Rw: 05 Desa Bayalangu Kidul, Kecamatan Gegesik, Kabupaten Cirebon",18-08-2025,JAWA BARAT,Wilayah II,Ma`bad Fathi Mu`tazza,,-6.61684,108.41748
SPPG Cianjur Cidaun Cisalak,kp sindangkerta Rt 05 Rw 02 No 14 Desa Cisalak Kecamatan Cidaun Kab Cianjur,18-08-2025,JAWA BARAT,Wilayah II,Dede Ihsan Mohamad R,,-7.49877,107.38586
SPPG Cirebon Mundu Suci,"blok Suci mana Rt:003 Rw:003 Desa: Suci, Kec. Mundu, Kab. Cirebon",18-08-2025,JAWA BARAT,Wilayah II,Siti Nurhaliza,,-6.75723,108.58205
SPPG Bandung Barat Cipatat Cipatat,"Kampung Pangapuran RT 03 RW 02, Desa Cipatat, Kecamatan Cipatat, Kabupaten Bandung Barat, Provinsi Jawa Barat",18-08-2025,JAWA BARAT,Wilayah II,Muhamad Rega Dwi Anggrana,,-6.93472,107.53619
SPPG Subang Pagaden Gembor,"Lahan TNI AU Lanud R. Suryadi Suryadarma, Desa Gembor, Kec. Pegaden, Kab. Subang, Jawa Barat",18-08-2025,JAWA BARAT,Wilayah II,Samsul Zaiz,,-6.50968,107.80286
SPPG Kota Tasikmalaya Mangkubumi Cipari,"JALAN RAYA MANGIN, RT. 004 RW. 005 KELURAHAN CIPARI KECAMATAN. MANGKUBUMI, KOTA TASIKMALAYA",18-08-2025,JAWA BARAT,Wilayah II,agus triyono,Yayasan Generasi Ilmu,-7.35524,108.18397
SPPG Subang Dawuan Dawuan Kaler,Kp Dauwan oncom Rt.15 Rw.05,18-08-2025,JAWA BARAT,Wilayah II,Rizal Busyrol Karim,Yayasan Bandung Barat Mania,-6.55146,107.69718
SPPG Majalengka Majalengka Cicurug 1,"Lingkungan Margaraharja RT 001 RW 001, Kel Cicurug, Kecamatan Majalengka, Kabupaten Majalengka, Provinsi Jawa Barat",18-08-2025,JAWA BARAT,Wilayah II,Denada Adzani,Yayasan Arrahman Berkah Mandiri,-6.84388,108.24544
SPPG Pangandaran Cimerak Batumalang,"Dusun Lebaksari RT 024 RW 008, Desa Batumalang, Kecamatan Cimerak, Kabupaten Pangandaran, Jawa Barat",18-08-2025,JAWA BARAT,Wilayah II,Reza Arya Sundara,,-7.76328,108.40684
SPPG Sukabumi Warungkiara Sukaharja, Kp. Sukaharja RT.03 RW.07 Desa Sukaharja Kec. Warungkiara Kab. Sukabumi,18-08-2025,JAWA BARAT,Wilayah II,Reza Rama Putra,,-6.96649,106.74027
SPPG Bekasi Tambelang Sukawijaya,"Kp. Balong Asem, Jl. Raya Sukatani Rt 01/01",18-08-2025,JAWA BARAT,Wilayah II,Chandra Dwi Prasetya,,-6.14832,107.17099
SPPG Tasikmalaya Salawu Karangmukti,"JL. TASIK - GARUT KP. RANGGON RT 009 / RW 004, DESA KARANGMUKTI KEC SALAWU",18-08-2025,JAWA BARAT,Wilayah II,RIZKY GINANJAR,,-7.3655,108.01595
SPPG Kota Tasikmalaya Cibeureum Kota Baru 2,"Kp. Tegal gede rt 003/ rw 011 Kelurahan Kota Baru Kecamatan Cibeureum _x000D_
Tasikmalaya Provinsi Jawa Barat 46196 ",18-08-2025,JAWA BARAT,Wilayah II,Windi Ferdian Syah,,-7.35236,108.26215
SPPG Tasikmalaya Salawu Kutawaringin,"JL. Garut-Tasik, Kp. Babakankananga RT.008/RW.001",18-08-2025,JAWA BARAT,Wilayah II,Fatimah Aulia Az Zahra,Yayasan Generasi Ilmu,-7.36616,107.99738
SPPG Sumedang Cibugel Jayamekar,"Dusun Padahurip Rt 003 Rw 004 Desa Jayamekar Kec. Cibugel Kab. Sumedang, Jawa Barat",18-09-2025,JAWA BARAT,Wilayah II,Anzari,,-6.83635,107.91394
SPPG Garut Malangbong Bunisari,"Kampung Cirangkong Rt/ Rw 003/004 Bunisari, Kec.Malangbong, Kab. Garut, Jawa Barat",18-10-2025,JAWA BARAT,Wilayah II,Bayu Sagara Sanjaya,,-7.05628,108.06371
SPPG Indramayu Balongan Tegalurung,"Samping KUA Balongan, Blok Kedokan, Desa Tegalurung, RT 009 RW 002, Kecamatan Balongan, Kabupaten Indramayu, Provinsi Jawa Barat",19-05-2025,JAWA BARAT,Wilayah II,Musta`id ,Yayasan Cahaya Insan Alirsyad,-6.35527,108.36485
SPPG Bekasi Setu Ciledug,"Kp. Burangkeng RT.002 RW.006 Ciledug, Kabupaten Bekasi, Jawa Barat, CILEDUG, SETU, KAB. BEKASI, JAWA BARAT",19-08-2025,JAWA BARAT,Wilayah II,Nur Falah Muhammad,,-6.35247,107.05257
SPPG Bogor Bojong Gede Bojonggede II,"Jalan lovebird, Depan komplek perumahan Riscon blok F6, kp Hutan Malang,  Rt 01 Rw 01, No 91A Desa Sukmajaya, Kecamatan Bojonggede Kabupaten Bogor, Jawa Barat, BOJONGGEDE, BOJONG GEDE, KAB. BOGOR, JAWA BARAT",19-08-2025,JAWA BARAT,Wilayah II,Muhammad Zuhal Febriansyah,,-6.48499,106.79776
SPPG Sukabumi Cicurug Cisaat,"Jln, cipari girang kp.cipari girang Rt.004 Rw.003 desa cisaat Kec, Cicurug Kab.sukabumi,  Prov.jawa barat, CISAAT, CICURUG, KAB. SUKABUMI, JAWA BARAT",19-08-2025,JAWA BARAT,Wilayah II,Imam Fajar Nurmegantara,,-6.7619,106.75694
SPPG Majalengka Cingambul Wangkelang,"Blok Senen Rt. 002 Rw 007, WANGKELANG, CINGAMBUL, KAB. MAJALENGKA, JAWA BARAT",19-08-2025,JAWA BARAT,Wilayah II,Agis Syahir Budi Liana Noval Fadhilah,,-7.04335,108.35309
SPPG Ciamis Baregbeg Jelat,"-Jl. Raya Kawali, Dsn. Mekarmulya RT 004 RW 005, Desa Jelat",20-03-2025,JAWA BARAT,Wilayah II,Hilman Maulana,Yayasan Asra Bakti Maritim,-7.30167,108.36745
SPPG Indramayu Tukdana Lajer,Blok Sukamukti RT. 02 RW.01 Desa Lajer Kec. Tukdana Kab. Indramayu,21-07-2025,JAWA BARAT,Wilayah II,Nugraha Mulyana Saputra,Yayasan Buana Insan Madani,-6.56946,108.3045
SPPG Bandung Barat Sindangkerta Cicangkang Girang 1,Kp Tanjungwangi RT001/RW008 Desa Cicangkanghilir Kec. Sindangkerta Kab. Bandung Barat,21-07-2025,JAWA BARAT,Wilayah II,Pandu Muhammad,Yayasan Satria Nata Jagaddhita,-7.00284,107.3736
SPPG Bandung Barat Cipongkor Citalem 1,"Kampung Citolo RT 002 RW 005 Desa Citalem, Kecamatan Cipongkor Kab. Bandung Barat",21-07-2025,JAWA BARAT,Wilayah II,Moch Resta Nugraha,Yayasan Satria Nata Jagaddhita,-6.95445,107.39162
SPPG Sukabumi Kalapanunggal Gunungendut,"Jl. Gunung Endut,  Bojong Galing. Kp. Cipurut Rt.021 Rw.007. ",21-07-2025,JAWA BARAT,Wilayah II,Rosidah,Yayasan Salapan Raga Nusantara,-6.84203,106.70363
SPPG Bandung Solokanjeruk Bojongemas,Kp. Ereng Wetan RT 01 RW 12 Ds. Bojong Emas Kec. Solokan Jeruk,21-07-2025,JAWA BARAT,Wilayah II,Hardyta Maulana,Yayasan Barkatul Huda Alhusaeni,-6.99532,107.71605
SPPG Kota Sukabumi Cikole Subangjaya,Jl Kokon Komariah rt 02 rw 13,21-07-2025,JAWA BARAT,Wilayah II,LILIS LIDYA NINGSIH,Yayasan Bangsa Mitra Madani,-6.91153,106.95083
SPPG Cianjur Ciranjang Cibiuk,"Kampung Pasir Gudang Rt 001 Rw 007, Desa Cibiuk, Kecamatan Ciranjang, Kabupaten Cianjur, Jawa Barat",21-08-2025,JAWA BARAT,Wilayah II,Hussain Fatahillah,,-6.81327,107.25666
SPPG Pangandaran Cigugur Cimindi,"Jalan Dusun Cibiru RT 04 RW 02, Desa Cimindi, Kecamatan Cigugur, Kabupaten Pangandaran, Jawa Barat`",21-08-2025,JAWA BARAT,Wilayah II,Rega Ambawana,,-7.69923,108.49532
SPPG Ciamis Panawangan Nagarapageuh,"Jalan Panawangan-Kawunglarang No. 62 RT 001 RW 001, Dusun Kaom, Desa Nagarapageuh, Kecamatan Panawangan, Kabupaten Ciamis, Provinsi Jawa Barat",21-08-2025,JAWA BARAT,Wilayah II,Muhamad Khotami,,-7.11742,108.38147
SPPG Bandung Barat Padalarang Ciburuy 3,"Kampung Pamucatan, Desa Ciburuy RT.03/RW.10, Kecamatan Padalarang",21-08-2025,JAWA BARAT,Wilayah II,Aldy Rozian,,-6.83419,107.46902
SPPG Ciamis Purwadadi Purwadadi,"Dusun Tangkeban RT 030 RW 006, Desa Purwadadi, Kecamatan Purwadadi, Kabupaten Ciamis, Provinsi Jawa Barat",21-08-2025,JAWA BARAT,Wilayah II,Subhi Alwi,,-6.43454,107.68743
SPPG Kota Cimahi Cimahi Selatan Melong 2,"Jalan Sindangsari Barat, Nomor 80, RT 001 RW 009, Kelurahan Melong, Kecamatan Cimahi Selatan, Kota Cimahi, Provinsi Jawa Barat",22-08-2025,JAWA BARAT,Wilayah II,Irfan Gunawan,,-6.91719,107.56241
SPPG Karawang Pakisjaya Telukjaya,"Dusun Baru II RT. 014 RW. 004, Desa Telukjaya, Kecamatan Pakisjaya, Kabupaten Karawang, Provinsii Jawa Barat",22-08-2025,JAWA BARAT,Wilayah II,"Wildidan Fakhrulannas, S.Tr.Pi",,-6.01219,107.10055
SPPG Garut Leles Cangkuang 2,"Jalan Blok Makam, Desa Cangkuang, Kecamatan Leles, Kabupaten Garut, Jawa Barat` ",22-08-2025,JAWA BARAT,Wilayah II,Arfan Muharam,,-7.10305,107.92354
SPPG Pangandaran Sidamulih Pajaten 3,"Dusun Pajaten Rt/Rw 007/001 Desa Pajaten, Kecamatan Sidamulih, Kabupaten Pangandaran Provinsi Jawa Barat",22-09-2025,JAWA BARAT,Wilayah II,Gugun Wiguna,,-7.65905,108.60959
SPPG Karawang Rengasdengklok Amansari,"Jalan Proklamasi, Ponpes Albaghdadi, RT 011/RW 003, Desa Amansari, Kecamatan Rengasdengklok, Kabupaten Karawang, Provinsi Jawa Barat",23-08-2025,JAWA BARAT,Wilayah II,Rakha Ridwan,,-6.20857,107.29731
SPPG Pangandaran Pangandaran Sidomulyo 2,"RT 003/RW 012, Dusun Bantarkalong, Desa Sidomulyo, Kecamatan Pangandaran, Kabupaten Pangandaran, Provinsi Jawa Barat",23-08-2025,JAWA BARAT,Wilayah II,Redi Firmansyah,,-7.68369,108.65169
SPPG Purwakarta Maniis Tegaldatar,"Kampung Kebon Jeruk Rt 04 Rw 02, Tegaldatar, Kec. Maniis, Kab. Purwakarta, Jawa Barat",23-09-2025,JAWA BARAT,Wilayah II,Idan,,-6.6894,107.29912
SPPG Bekasi Cibitung Cibuntu,Perum Matland Tambun Jl. Biduri raya Blok G No. 1 dan 2,24-02-2025,JAWA BARAT,Wilayah II,Dedi Rizki Pratama,Yayasan Salman Peduli Berkarya,-6.27386,107.07115
SPPG Purwakarta Pasawahan Warungkadu,"Jalan Raya Warungkadu, Kampung Ciomas, Rt 007 Rw 004, Desa Warungkadu, Kecamatan Pasawahan, Kabupaten Purwakarta, Jawa Barat",25-08-2025,JAWA BARAT,Wilayah II,"Muhammad Alwiguna, S.Ak",,-6.57681,107.46426
SPPG Bogor Tajurhalang Tonjong,"Jalan PWRI No. 59, Kampung  Jati Pondok, RT 001/RW 005",25-08-2025,JAWA BARAT,Wilayah II,Eko Wahyudi,,-6.48928,106.74745
SPPG Kuningan Kramatmulya Karangmangu 2,"`SJalan Baru Lingkar Timur, Desa Karangmangu, Kecamatan Kramatmulya, Kabupaten Kuningan, Provinsi Jawa Barat, Kode Pos 45553`",25-08-2025,JAWA BARAT,Wilayah II,Riky Maoulana,,-6.93648,108.48622
SPPG Garut Cikajang Mekarsari,"Kampung Tanjungsari, RT 04 / RW 04, Desa Mekarsari, Kecamatan Cikajang, Kabupaten Garut, Provinsi Jawa Barat",25-08-2025,JAWA BARAT,Wilayah II,Agung Nurlaksana Putra,,-7.34314,107.80068
SPPG Garut Cisompet Depok 2,"Kampung Pangligaran, Rt 001/Rw 004, Desa Depok, Kecamatan Cisompet, Kabupaten Garut, Provinsi Jawa Barat",25-08-2025,JAWA BARAT,Wilayah II,Hadi Ar Rosyid,,-7.60092,107.77025
SPPG Purwakarta Plered Sempur,"Kampung Sempur, Rt 007 Rw 002, Desa Sempur, Kecamatan Plered, Kabupaten Purwakarta, Jawa Barat",25-08-2025,JAWA BARAT,Wilayah II,Agi Ahmad Fauzi,,-6.64106,107.38974
SPPG Purwakarta Bungursari Cikopo 1,"Jl. Raya Cikopo, Kp. Mulyasari, RT.004/RW.002, Cikopo",26-05-2025,JAWA BARAT,Wilayah II,Irhaz Aulianandatama Sundoro,Yayasan Dewi Sartika Semarang,-6.43077,107.48044
SPPG Kuningan Kramatmulya Karangmangu,Dusun Pahing RT 01 RW 01,26-05-2025,JAWA BARAT,Wilayah II,Fajar Muhandari,Yayasan Wasilah Nurul Salam,-6.92996,108.50461
SPPG Sukabumi Simpenan Cidadap,"Kampung Cihurang, RT 002 RW 008",26-05-2025,JAWA BARAT,Wilayah II,Trisna Alraafi,Yayasan Ulul Albab Fasihah Al Munawaroh,-7.01949,106.55847
SPPG Cianjur Ciranjang Karangwangi,Kp Leweung lame no 133 RT 01/RW 01  Ds Karang Wangi Kec Ciranjang kab Cianjur,26-05-2025,JAWA BARAT,Wilayah II,Rita Ismiaty,Yayasan Berkah Abdi Sadaya,-6.8265,107.252
SPPG Kota Sukabumi Lembursitu Situmekar 2,Jl.Kibitay Kp.Bangsanaya Rt.03/07,26-05-2025,JAWA BARAT,Wilayah II,Rislan,Yayasan Al Muslim Mandiri,-6.96906,106.89211
SPPG Ciamis Cisaga Sidamulya,"Dusun Pasirpeuteuy, RT 009 RW 005, Desa Sidamulya, Kecamatan Cisaga, Kabupaten Ciamis, Jawa Barat",26-05-2025,JAWA BARAT,Wilayah II,Ryan Firdaus Fauzi,Yayasan Islam Al-Ikhlas Cimerak,-7.33274,108.46478
SPPG Ciamis Rancah Cisontrol,"Jl. Raya Cisontrolt 002 / Rw  003 Cisontrol, Kec. Rancah, Kab. Ciamis, Jawa Barat",26-09-2025,JAWA BARAT,Wilayah II,Diksy Septiana,,-7.30498,108.50063
SPPG Bogor Parung Warujaya 3,"Jalan H Nawi Gang Serius RT 01 / RW 03 Lembah Puri Husada, Kelurahan Warujaya, Kecamatan Parung, Kabupaten Bogor, Provinsi Jawa Barat",27-08-2025,JAWA BARAT,Wilayah II,Muhammad Irfan,,-6.43261,106.71499
SPPG Purwakarta Darangdan Linggasari 2,"Kampung Sempurnunggal RT 020 RW 06 Kec. Darangdan Kabupaten Purwakarta, Jawa Barat",27-09-2025,JAWA BARAT,Wilayah II,Putri Afrilyanti,,-6.68532,107.42814
SPPG Purwakarta Jatiluhur Jatiluhur,"Kampung Cigondewah Rt.011/002 , Jatiluhur, Jatiluhur, Kabupaten Purwakarta, Jawa Barat",27-09-2025,JAWA BARAT,Wilayah II,Dikri Nur Abdillah,,-6.52719,107.41145
SPPG Cianjur Cibeber Cibaregbeg,Kampung Bunder RT/RW 003/004 Desa Cibaregbeg Kecamatan Cibeber Kabupaten Cianjur,28-08-2025,JAWA BARAT,Wilayah II,Fitri Lutfiah,,-6.93939,107.13115
SPPG Cianjur Bojongpicung Jatisari,"Kampung Garduh Rt. 001 Rw. 003 Desa Jatisari Kecamatan Bojong Picung Kabupaten Cianjur., Jatisari, Bojongpicung, Kab. Cianjur, Jawa Barat",28-09-2025,JAWA BARAT,Wilayah II,Faul Zulhaq,,-6.85784,107.25113
SPPG Cianjur Mande Bobojong 2,"Jl. Aria Natamanggala Kampung Cibogo Rt. 01 Rw. 07 Desa Bobojong, Kabupaten Cianjur, Jawa Barat",28-09-2025,JAWA BARAT,Wilayah II,Rudi Habibi,,-6.75357,107.26006
SPPG Ciamis Rajadesa Andapraja,"Dusun Mekarjaya Rt 001 Rw 001, Desa Andapraja, Kecamatan Rajadesa, Kabupaten Ciamis, Provinsi Jawa Barat.",29-08-2025,JAWA BARAT,Wilayah II,Bobby Anjar Saputra,,-7.18375,108.44604
SPPG Tasikmalaya Cikalong Cikalong,"Jl.Tonjongsari Rt.001 Rw.003 Dusun Cimande Kec,Cikalong Kab.Tasikmalaya Jawa Barat",29-08-2025,JAWA BARAT,Wilayah II,Tedi Permana,,-7.74125,108.22589
SPPG Kuningan Darma Jagara,"Jl. Raya Kuningan Ciamis Dusun Cirahayu Rt. 001 Rw. 001 Desa Jagara, Kecamatan Darma, Kabupaten Kuningan, Jawa Barat",29-09-2025,JAWA BARAT,Wilayah II,Dandi Nainggolan,,-7.01624,108.39415
SPPG Majalengka Argapura Sukasari Kaler,"Jl. Raya Sukasari Blok Senen Rt 001 Rw 001, Sukasari Kaler, Kecamatan Argapura, Kabupaten Majalengka, Jawa Barat",30-09-2025,JAWA BARAT,Wilayah II,Muhammad Syahrur Ramadhan Al Firdaus,,-6.99983,108.34733
SPPG Karawang Kota Baru Wancimekar,"Jl. Al Hikmah 54, Wancimekar, Kecamatan Kota Baru, Kabupaten Karawang, Jawa Barat ",30-09-2025,JAWA BARAT,Wilayah II,Dewi Ayu Fitria Wanda Ridandi,,-6.38784,107.46508
SPPG Banjarnegara Bawang Kebondalem,"Prajan Kebondalem Kec Bawang Kab Banjar Negara, Kebondalem, Bawang, Kab. Banjarnegara, Jawa Tengah",01-09-2025,JAWA TENGAH,Wilayah II,Mochamad Wahyunisyar,,-7.3995,109.68477
SPPG Karanganyar Ngargoyoso Puntukrejo,"Jl. Raya Kemuning, Ngranten, Kemuning, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57793, Puntukrejo, Ngargoyoso, Kab. Karanganyar, Jawa Tengah",03-09-2025,JAWA TENGAH,Wilayah II,Ronald Deo Sugiyanto,,-7.61358,111.11722
SPPG Pemalang Taman Gondang,"Desa Gondang RT.20/RW.04 Kecamatan Taman, Kabupaten&amp;amp;amp;amp;nbsp;Pemalang",03-09-2025,JAWA TENGAH,Wilayah II,Citra Dwi Fitriani,,-6.93779,109.44436
SPPG Wonosobo Selomerto Kalierang 2,Kemiri RT 09 RW 04 Simbarejo Selomerto Wonosobo,03-09-2025,JAWA TENGAH,Wilayah II,"Rizki Purnomo,S.H",,-7.40381,109.88852
SPPG Sukoharjo Nguter Nguter,"7V7C+GW2, Unnamed Road, Dusun I, Nguter, Kec. Nguter, Kabupaten Sukoharjo, Jawa_x000D_
Tengah 57571, NGUTER, NGUTER, KAB. SUKOHARJO, JAWA TENGAH",04-08-2025,JAWA TENGAH,Wilayah II,Rossiana Fatika Devi,,-7.74226,110.87916
SPPG Blora Todanan Cokrowati,"Dukuh Cokrowati, RT. 001/RW. 002, Kelurahan Cokrowati, Kecamatan Todanan, Kabupaten Blora, Provinsi Jawa Tengah",04-08-2025,JAWA TENGAH,Wilayah II,Bagas Febiano Widodo,,-6.94152,111.18797
SPPG Sragen Plupuh Plupuh,"Dukuh Mendungan Rt.07 Desa Plupuh,  Kecamatan Plupuh, Kabupaten Sragen, Jawa Tengah",04-10-2025,JAWA TENGAH,Wilayah II,Eki Kurniawan,,-7.46045,110.87124
SPPG Kota Magelang Magelang Selatan Jurangombo Selatan,"Jl. Gatot Soebroto, Depan AKMIL",06-01-2025,JAWA TENGAH,Wilayah II,Zain Muhammad Jauhar Hilmi,Yayasan Asra Bakti Maritim,-7.5029,110.20649
SPPG Karanganyar Colomadu Malangjiwan,"Jl. Tentara Pelajar, Tegalrejo, Malangjiwan, Kecamatan Colomadu, Kabupaten/Kota Karanganyar, Lanud Adi Soemarmo, Ksatrian Skadik 404 Lanud Adi Soemarmo, Jawa Tengah",06-01-2025,JAWA TENGAH,Wilayah II,Rifky Sheva Al Ghifary,Yayasan Adi Upaya,-7.52409,110.74924
SPPG Brebes Songgom Songgom,"Jl. Pejagan - Bumiayu, Lapangan Tembak Kodim, Songgom, Kec. Songgom, Kab. Brebes",06-01-2025,JAWA TENGAH,Wilayah II,G. Aulia Genurizati,Yayasan Nasabe Pangan Bergizi,-7.03852,108.98989
SPPG Batang Gringsing Plelen,"Jl. Raya Plelen (Samping Alfamart SDN 01 Plelen), Desa Plelen, Kecamatan Gringsing, Kabupaten Batang, Provinsi Jawa Tengah",06-09-2025,JAWA TENGAH,Wilayah II,Budi Prastyo,,-6.96673,110.01583
SPPG Klaten Jatinom Glagah,"Dukuh Jeruk Manis, Desa Glagah, Kecamatan Jatinom, Kabupaten Klaten, Provinsi Jawa Tengah",06-09-2025,JAWA TENGAH,Wilayah II,Muhammad Fauzi Khairulloh,,-7.65501,110.57795
SPPG Jepara Bangsri Tengguli,"Jl. Kh. Abdul Hadi 1, Tengguli, Kec. Bangsri, Kab. Jepara, Jawa Tengah",09-10-2025,JAWA TENGAH,Wilayah II,Eka Dewi Nurjanah,,-6.52991,110.744
SPPG Brebes Brebes Pasarbatang 2,"Jl. Binaji Rt. 02 Rw. 12 Kelurahan Pasarbatang Kecamatan Brebes Kabupaten Brebes Provinsi Jawa Tengah 52211, Pasarbatang, Brebes, Kab. Brebes, Jawa Tengah",10-09-2025,JAWA TENGAH,Wilayah II,Mohammad Habib Abishalam,,-6.86418,109.04059
SPPG Boyolali Ngemplak Manggung,"Dusun Manggung Rt 04 Rw 03 Desa Manggung, Kecamatan Ngemplak, Kabupaten Boyolali, Provinsi Jawa Tengah, Manggung, Ngemplak, Kab. Boyolali, Jawa Tengah",10-09-2025,JAWA TENGAH,Wilayah II,Abdul Anjas Roha,,-7.49328,110.77898
SPPG Grobogan Pulokulon Mangunrejo,Dusun Sukorejo Rt 03 Rw 10 Desa Mangunrejo Kecamatan Pulokulon Kabupaten Grobogan Provinsi Jawa Tengah,10-10-2025,JAWA TENGAH,Wilayah II,Puji Astutik,,-7.12814,111.06073
SPPG Banyumas Baturraden Kutasari,"Jl. Raya Jl. Masjid Prompong, Dusun Ii Prompong, Kutasari, Kecamatan Baturaden, Kabupaten Banyumas, Jawa Tengah ",10-10-2025,JAWA TENGAH,Wilayah II,Almandria Rakhmanda Putra,,-7.38804,109.2366
SPPG Purworejo Kutoarjo Kutoarjo,"Jl. Wijoyo Kusumo No.15, Serdo Timur, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54251, KUTOARJO, KUTOARJO, KAB. PURWOREJO, JAWA TENGAH",11-08-2025,JAWA TENGAH,Wilayah II,Dian Bagus Prasetyo,,-7.72404,109.91192
SPPG Temanggung Kranggan Badran,Ngepoh RT 03/ RW 01 Desa Badran Kecamatan Kranggan Kabupaten Temanggung Provinsi Jawa Tengah,11-08-2025,JAWA TENGAH,Wilayah II,Galih Pratio Wahyu Aji,,-7.33355,110.21715
